DEUSLIRIO JERONIMO#M#15556.97#2#
ADEONE ALMACINHA#F#15674.47#0#
DAGUILAR VITOR#F#2985.43#1#
VANDERLICE OLIVIERA#F#9330.50#1#
AURELIANO MODESTA#M#12448.09#0#
AUGOSTINHO DOURADO#F#11810.86#0#
DOROTHY BENEVIDES#M#19903.71#3#
RUBERLIRO MAGDALENA#M#1327.58#0#
ROOSEVELT BRANDO#F#6312.24#0#
IDAIR GUIMAR#F#11042.76#0#
MISAEL TORQUATO#F#11590.39#0#
REUNECIR PASSOS#M#7012.41#2#
MOZAIR PREIRA#F#17385.71#0#
AIRCLEIDE ALMIRAR#F#5805.36#2#
EDWARDO REIS#F#7506.02#0#
ELIFAZ ISIDIO#M#15831.72#4#
ALBENY FLORIANO#M#1235.20#3#
AUGUSTO LAIOLA#F#9759.66#5#
HERCULES MIRABEL#F#14796.75#1#
LINDOMAURO ALVINDO#M#8862.07#3#
WALDECI ABADIO#F#13280.65#1#
GENETE IZABEL#F#18550.17#3#
DEUSIMAR VALDIVAN#F#5289.32#4#
JONEBALDO SIMAO#F#13162.04#1#
CARLIOMAR FIDELIS#F#6029.02#0#
PAULINO SILVA#M#1857.84#0#
IVALDO VALLE#F#9412.11#0#
PLINIO VILELA#M#17547.31#0#
FLURSCLEIM GADELHA#F#16289.14#2#
IEDA MONTURIL#F#10047.81#4#
AROALDO TELES#M#10888.28#0#
CRESIO MUNIZ#F#2806.09#2#
RITA EDMILSON#M#8359.52#0#
ANDERSON LUZIA#M#11725.03#0#
OTOMAR CASSIA#M#10354.39#0#
NERCINHO FREDERICO#F#15427.22#3#
ROSEMAR MOURAO#F#9958.06#0#
DANYLLO PACHECO#F#9231.53#2#
DEVACIR NEVES#M#10724.08#0#
LINDEVALDA ODELICIO#F#1086.37#4#
FLORIZAN SELVIO#F#3760.36#2#
LEONARDO BARCELOS#M#12553.56#3#
ELIFAZ ORIDES#F#5022.54#0#
EUDAMIDAS NICOLAU#M#9587.72#0#
ERCY IZABEL#M#1806.24#0#
DEUZELINO ADELIO#M#2352.29#0#
ERICA MASSANORI#F#14675.50#4#
MAURILIO BRAS#F#10312.98#4#
CIDE TRANQUEIRA#M#14958.83#0#
REINNER ZARU#M#17132.36#0#
ARNOLDO CAVALHEIRO#F#11685.19#1#
ROSEMBERG FELIPE#M#13169.50#0#
GENES-MAR BRANDO#F#10794.21#0#
ILDIMAR NICOLAU#F#19595.86#0#
ELIANO PADUA#F#13404.64#1#
OLIMPIO CAITANO#M#11321.16#4#
ECIA ITACARAMBY#F#11878.77#0#
MARINHO ELISEU#M#1578.85#5#
ADELIA LAZARA#F#3434.36#3#
NELSIRON JAIME#M#15899.89#4#
NILFO HIPOLITO#F#7159.93#3#
JAULDE GIZENGA#F#8279.08#0#
ANASTACIO RIBEIRO#M#5378.50#3#
FELISBERTO SARAIVA#F#9595.88#0#
HERMIONE GALENO#M#16391.20#0#
RUBEM PELEGRINE#M#14925.44#5#
FIRMARICE MAYA#M#11200.62#0#
ADVALDO MAMEDIO#M#4669.88#3#
ELMINDO BENIGNO#M#10753.78#0#
DEOCLIDES PRUDENCIO#F#2991.68#0#
FLURSCLEIM LAURIANO#M#8804.45#0#
LUACIR FONCECA#F#1342.54#1#
DAYSE MARCONDES#M#14915.01#0#
DEJAMI MARCELO#F#14391.84#1#
NIVALDO CASIMIRO#F#1854.88#0#
SILVO ALMIRAR#F#13578.42#3#
DOURIVAL ALCANTARA#M#7477.62#0#
CALIMERIO NILO#F#8324.01#3#
ALMERINDA MONSUETH#F#9248.44#3#
EVA BORBA#M#4893.60#1#
SILVALDO BRANDO#F#18868.47#0#
SIRLE MARQUES#M#16760.03#3#
DOTERVIR BARRETO#F#16085.74#0#
LADISLAU ITACARAMBY#M#10184.13#0#
SONIA MENDES#M#6362.26#0#
HAIDES MARTINS#F#2841.38#0#
IRACEMO VALDIVAN#F#3380.29#1#
JOVACI IZABEL#M#5679.68#5#
VANDAIR CLINTON#F#3591.27#5#
EVERCINO ERNANDO#F#11015.17#4#
